source,target,language_pair,legal_category,legal_entity
"The Commission shall be assisted by the Committee on Safe Seas and the Prevention of Pollution from Ships (COSS) created by Article 3 of Regulation (EC) No 2099/2002 of the European Parliament and of the Council of 5 November 2002 establishing a Committee on Safe Seas and the Prevention of Pollution from Ships (COSS)(21)."";","""(1) Die Kommission wird von dem durch Artikel 3 der Verordnung (EG) Nr. 2099/2002 des Europäischen Parlaments und des Rates vom 5. November 2002 zur Einsetzung eines Ausschusses für die Sicherheit im Seeverkehr und die Vermeidung von Umweltverschmutzung durch Schiffe (COSS)(21) eingesetzten Ausschuss für die Sicherheit im Seeverkehr und die Vermeidung von Umweltverschmutzung durch Schiffe (COSS) unterstützt.""",en-de,Environmental Law,"pollution, article, commission, regulation"
"The Challenge issued by the card is only valid for the next command, which uses a challenge, sent to the card.","Die von der Karte ausgegebene Zufallszahl ist nur für den nächsten Befehl gültig, der eine an die Karte gesendete Zufallszahl verwendet.",en-de,Civil Procedure & Litigation,challenge
"Adjustments to depreciation and amortisation, impairment charges, and other amounts, determined under paragraphs 5 and 6 of this interpretation, should be included in net profit or loss in the respective classification of income or expense presented on the face of the income statement.","Die nach Paragraphen 5 und 6 dieser Interpretation ermittelten Anpassungen der planmäßigen Abschreibungen, Wertminderungsaufwendungen und anderer Beträge sind unter den jeweiligen in der Gewinn- und Verlustrechnung ausgewiesenen Aufwands- oder Ertragsposten in das Periodenergebnis einzubeziehen.",en-de,Tax & Financial Regulation,"profit, net, expense, loss, income, depreciation"
The nominal value of the AC voltage supply and/or the limits of DC supply.,Nennwert der Wechselspannungsversorgung und/oder Grenzwerte der Gleichspannungsversorgung.,en-de,Administrative Law,value
DEFROSTING,Entfrostung,en-de,Administrative Law,
"Finland and Sweden shall have the option of declaring that the Convention of 6 February 1931 between Denmark, Finland, Iceland, Norway and Sweden comprising international private law provisions on marriage, adoption and guardianship, together with the Final Protocol thereto, will apply, in whole or in part, in their mutual relations, in place of the rules of this Regulation.","Finnland und Schweden können erklären, dass das Übereinkommen vom 6. Februar 1931 zwischen Dänemark, Finnland, Island, Norwegen und Schweden mit Bestimmungen des internationalen Verfahrensrechts über Ehe, Adoption und Vormundschaft einschließlich des Schlussprotokolls anstelle dieser Verordnung ganz oder teilweise auf ihre gegenseitigen Beziehungen anwendbar ist.",en-de,Family Law & Estates/Trusts,"protocol, adoption, regulation, guardianship, mutual, marriage, option, rules, will, law"
"in certain particularly disadvantaged geographical areas, for reduced rates of excise duty on domestic fuel and LPG used for heating and distributed through the networks of such areas, provided that the rates are in accordance with the obligations laid down in this Directive, and in particular the minimum rates of excise duty;","in einigen geografisch besonders benachteiligten Gebieten ermäßigte Verbrauchsteuersätze für Heizöl und Flüssiggas, das für Heizzwecke verwendet und über Leitungen in diesen Gebieten verteilt wird, unter der Voraussetzung, dass diese Sätze den Anforderungen dieser Richtlinie und insbesondere den Verbrauchsteuer-Mindestsätzen entsprechen;",en-de,Tax & Financial Regulation,"excise, duty"
the donor animal has been subjected with negative result to a serological test for the detection of antibodies against the foot-and-mouth disease virus on a sample taken not earlier than 28 days after the collection of the semen.,das Spendertier anhand einer nicht früher als 28 Tage nach der Spermaentnahme entnommenen Probe mit Negativbefund auf MKSV-Antikörper untersucht wurde.,en-de,Administrative Law,donor
Minimum control rate,Mindestkontrollsatz,en-de,Environmental Law,control
"THE VOLUME OF THE BASIN IS APPROXIMATELY 60 TO 65 CC IN TOTAL ,","DAS GESAMTVOLUMEN DES BECKENS BETRÄGT ETWA 60 BIS 65 CM2 ,",en-de,Administrative Law,
a major step in the development of aviation; or,als wichtiger Schritt in der Entwicklung der Luftfahrt oder,en-de,Legal Theory & Latin Terms,aviation
"A sample for testing shall be taken only in cases where the customs office of exit cannot check, visually and using the information on the packaging and in the documentation, whether the goods tally with the accompanying document.","Eine Probe für eine Analyse wird nur genommen, wenn die Ausgangszollstelle anhand der Angaben auf der Verpackung und der Papiere nicht visuell feststellen kann, ob die Ware mit dem Dokument übereinstimmt.",en-de,Immigration & Naturalization Law,"check, information, document, goods"
plans to reduce the fleet in order to comply with the reference levels where appropriate;,gegebenenfalls geplante Flottenreduzierungen zur Einhaltung der Referenzgrößen;,en-de,Administrative Law,order
They shall be applicable until 30 June 1969 at the latest.,Sie sind bis spätestens 30. Juni 1969 anwendbar.,en-de,Administrative Law,
Succinaldehyde,Succinaldehyd,en-de,Administrative Law,
The Committee may furthermore be consulted by the Commission on any other matter concerning the application of this Regulation.,"Im Übrigen kann der Ausschuss von der Kommission zu jeder anderen Frage gehört werden, die die Anwendung dieser Verordnung betrifft.",en-de,Administrative Law,"commission, regulation"
The regulated market shall communicate to the competent authority of its home Member State the Member State in which it intends to provide such arrangements.,"Der geregelte Markt teilt der zuständigen Behörde seines Herkunftsmitgliedstaats mit, in welchem Mitgliedstaat er derartige Systeme bereitzustellen beabsichtigt.",en-de,Intellectual Property (IP),"member, competent, authority, state"
Sodium 4-propoxycarbonylphenoxide,Natrium 4-propoxycarbonylphenoxid,en-de,Administrative Law,
(1)EAGGF financing : 60 % by the Guarantee Section and 40 % by the Guidance Section.,"(1)Finanzierung dieser Prämien durch den EAGFL, und zwar zu 60 v.H. durch die Abteilung Garantie und zu 40 v.H. durch die Abteilung Ausrichtung.",en-de,Legal Theory & Latin Terms,guarantee
"Having regard to Regulation (EC) No 999/2001 of the European Parliament and of the Council of 22 May 2001 laying down rules for the prevention, control and eradication of certain transmissible spongiform encephalopathies(1), as last amended by Commission Regulation (EC) No 1326/2001(2), and in particular Article 23 thereof,","gestützt auf die Verordnung (EG) Nr. 999/2001 des Europäischen Parlaments und des Rates vom 22. Mai 2001 mit Vorschriften zur Verhütung, Kontrolle und Tilgung bestimmter transmissibler spongiformer Enzephalopathien(1), zuletzt geändert durch die Verordnung (EG) Nr. 1326/2001 der Kommission(2), und insbesondere Artikel 23,",en-de,Administrative Law,"regulation, article, control, rules, commission"
The members of the Steering Committee shall be appointed for three years.,Die Mitglieder des Lenkungsausschusses werden für drei Jahre ernannt.,en-de,Administrative Law,
By way of derogation from the provisions of Annex VII to Regulation (EC) No 999/2001:,Abweichend von den Bestimmungen des Anhangs VII der Verordnung (EG) Nr. 999/2001:,en-de,Administrative Law,regulation
IAS 38 requires that the amortisation method used should reflect the pattern in which the asset's economic benefits are consumed by the enterprise.,"IAS 38 verlangt, dass die verwendete Abschreibungsmethode den Verlauf widerspiegelt, in dem der wirtschaftliche Nutzen des Vermögenswertes durch das Unternehmen verbraucht wird.",en-de,Administrative Law,asset
This voltage should not be interpreted in any case.,Auf jeden Fall ist diese Spannung nicht zu interpretieren.,en-de,Administrative Law,case
The preamble of this Code indicates that chapter XI-2 and part A of this Code establish the new international framework of measures to enhance maritime security and through which ships and port facilities can cooperate to detect and deter acts which threaten security in the maritime transport sector.,"In der Präambel dieses Codes wird erläutert, dass Kapitel XI-2 und Teil A dieses Codes den neuen internationalen Rahmen für Maßnahmen darstellen, durch welche die Gefahrenabwehr in der Schifffahrt erhöht wird und Schiffe und Hafenanlagen zusammenarbeiten können, um die Sicherheit des Seeverkehrs bedrohende Handlungen aufzudecken und vor der Begehung solcher Handlungen abzuschrecken.",en-de,Tax & Financial Regulation,"code, security, preamble"
"If only the non-family labour force and no other resources of the holding are used, the workers are seen as working for two different set-ups, and these activities are thus not seen as being directly related to the holding.","Wenn nur die familienfremden Arbeitskräfte und keine sonstigen Betriebsmittel eingesetzt werden, so werden die Arbeitskräfte als für zwei verschiedene Einrichtungen tätig betrachtet, und die entsprechenden Tätigkeiten gelten nicht als direkt mit dem Betrieb in Verbindung stehend.",en-de,Family Law & Estates/Trusts,"holding, family, set"
"The measures necessary for the implementation of this Regulation should be adopted in accordance with Council Decision 1999/468/EC of 28 June 1999 laying down the procedures for the exercise of implementing powers conferred on the Commission [6],",Die für die Durchführung dieser Verordnung erforderlichen Maßnahmen sollten gemäß dem Beschluss 1999/468/EG des Rates vom 28. Juni 1999 zur Festlegung der Modalitäten für die Ausübung der der Kommission übertragenen Durchführungsbefugnisse [6] erlassen werden —,en-de,Administrative Law,"commission, decision, regulation"
Control is the power to govern the financial and operating policies of an enterprise so as to obtain benefits from its activities.,"Beherrschung ist die Möglichkeit, die Finanz- und Geschäftspolitik eines Unternehmens zu bestimmen, um aus dessen Tätigkeiten Nutzen zu ziehen.",en-de,Environmental Law,control
Whereas the amounts in respect of which insurance is compulsory must in any event guarantee victims adequate compensation irrespective of the Member State in which the accident occurred;,"Die Summen, bis zu denen die Versicherungspflicht besteht, müssen in jedem Fall gestatten, den Unfallopfern eine ausreichende Entschädigung zu sichern, gleichgültig, in welchem Mitgliedstaat sich der Unfall ereignet hat.",en-de,Administrative Law,"state, member, insurance, guarantee, compensation"
Longline fisheries:,Langleinenfischerei:,en-de,Administrative Law,
