legal_term,category
certificate of organization,Legal Theory & Latin Terms
certificate of title,Property & Real Estate Law
certificate of trust,Family Law & Estates/Trusts
certification mark,Legal Theory & Latin Terms
certification of trust,Family Law & Estates/Trusts
certified check,Legal Theory & Latin Terms
certified copy,Legal Theory & Latin Terms
certified public accountant (CPA),Legal Theory & Latin Terms
certiorari,Appellate & Supreme Court
cf.,Legal Theory & Latin Terms
chain of title,Property & Real Estate Law
challenge,Civil Procedure & Litigation
challenge for cause,Legal Theory & Latin Terms
challenge to the array,Legal Theory & Latin Terms
chambers,Legal Theory & Latin Terms
champerty,Legal Theory & Latin Terms
chance verdict,Civil Procedure & Litigation
chancellor,Legal Theory & Latin Terms
chancery,Legal Theory & Latin Terms
change of circumstances,Legal Theory & Latin Terms
channels,Legal Theory & Latin Terms
Chapter 11 bankruptcy,Bankruptcy Law
Chapter 12 bankruptcy,Bankruptcy Law
Chapter 13 bankruptcy,Bankruptcy Law
Chapter 13 plan,Bankruptcy Law
Chapter 7 bankruptcy,Bankruptcy Law
Chapter 9 bankruptcy,Bankruptcy Law
character and fitness,Legal Theory & Latin Terms
character evidence,Evidence Law
character witness,Criminal Law & Procedure
charge,Bankruptcy Law
charges dismissed,Legal Theory & Latin Terms
charges dropped,Legal Theory & Latin Terms
charging lien,Contract Law
charitable contribution,Legal Theory & Latin Terms
charitable gift annuity,Legal Theory & Latin Terms
charitable lead trust,Family Law & Estates/Trusts
charitable organization,Legal Theory & Latin Terms
charitable remainder annuity trust,Property & Real Estate Law
charitable remainder trust,Property & Real Estate Law
charitable remainder unitrust,Property & Real Estate Law
charitable trust,Family Law & Estates/Trusts
charitable trust purposes,Family Law & Estates/Trusts
charity,Legal Theory & Latin Terms
chart of accounts,Legal Theory & Latin Terms
charter,Constitutional Law
chattel,Property & Real Estate Law
chattel mortgage,Property & Real Estate Law
chattel paper,Legal Theory & Latin Terms
check,Legal Theory & Latin Terms
check-kiting,Legal Theory & Latin Terms
checks and balances,Legal Theory & Latin Terms
Chevron deference,Legal Theory & Latin Terms
Chief Justice,Immigration & Naturalization Law
child,Family Law & Estates/Trusts
child custody,Family Law & Estates/Trusts
Child Online Privacy Act,Family Law & Estates/Trusts
child pornography (CP),Family Law & Estates/Trusts
Child Status Protection Act (CSPA),Family Law & Estates/Trusts
child support,Family Law & Estates/Trusts
child's trust,Family Law & Estates/Trusts
children's rights,Family Law & Estates/Trusts
Chinese Exclusion Act,Legal Theory & Latin Terms
church and state,Legal Theory & Latin Terms
churn,Legal Theory & Latin Terms
churning,Legal Theory & Latin Terms
CIA,Tax & Financial Regulation
CID,Criminal Law & Procedure
CIF,Intellectual Property (IP)
cigar,Legal Theory & Latin Terms
cigarette,Legal Theory & Latin Terms
circuit court,Civil Procedure & Litigation
circuit riding,Legal Theory & Latin Terms
circuit split,Legal Theory & Latin Terms
circular reasoning,Legal Theory & Latin Terms
circumstantial evidence,Evidence Law
cisgender,Legal Theory & Latin Terms
citation,Legal Theory & Latin Terms
citation sentence,Criminal Law & Procedure
cite,Legal Theory & Latin Terms
citizen,Immigration & Naturalization Law
citizen's arrest,Criminal Law & Procedure
Citizens United v. Federal Election Commission (2010),Legal Theory & Latin Terms
civil,Civil Procedure & Litigation
civil action,Civil Procedure & Litigation
civil case,Civil Procedure & Litigation
civil code,Civil Procedure & Litigation
civil forfeiture,Civil Procedure & Litigation
civil law,Civil Procedure & Litigation
civil liability,Civil Procedure & Litigation
civil liberties,Civil Procedure & Litigation
civil penalties (civil fines),Criminal Law & Procedure
civil procedure,Civil Procedure & Litigation
civil rights,Civil Procedure & Litigation
Civil Rights Act of 1964,Civil Procedure & Litigation
civil union,Civil Procedure & Litigation
civil union partners,Civil Procedure & Litigation
civilian,Civil Procedure & Litigation
claim,Bankruptcy Law
claim for relief,Legal Theory & Latin Terms
claim in bankruptcy,Bankruptcy Law
claims,Legal Theory & Latin Terms
class,Legal Theory & Latin Terms
class action,Legal Theory & Latin Terms
classical theory of insider trading,Securities & Corporate Law
clawback,Legal Theory & Latin Terms
Clayton Antitrust Act,Family Law & Estates/Trusts
Clean Air Act (CAA),Environmental Law
clean energy,Legal Theory & Latin Terms
clean hands doctrine,Legal Theory & Latin Terms
clean room,Legal Theory & Latin Terms
Clean Water Act (CWA),Environmental Law
clean-hands doctrine,Legal Theory & Latin Terms
cleaning fee,Legal Theory & Latin Terms
clear and convincing evidence,Evidence Law
clear and present danger,Legal Theory & Latin Terms
clear title,Property & Real Estate Law
clearly erroneous,Legal Theory & Latin Terms
clearly erroneous test,Legal Theory & Latin Terms
clemency,Legal Theory & Latin Terms
clerk,Legal Theory & Latin Terms
Clinton v. City of New York (1998),Legal Theory & Latin Terms
close corporation,Securities & Corporate Law
closed shop,Legal Theory & Latin Terms
closed-end loan,Legal Theory & Latin Terms
closely held corporation,Securities & Corporate Law
closing,Property & Real Estate Law
closing argument,Property & Real Estate Law
closing costs,Property & Real Estate Law
cloture,Legal Theory & Latin Terms
cloud on title,Property & Real Estate Law
co-operative (co-op),Legal Theory & Latin Terms
COBRA,Legal Theory & Latin Terms
code,Administrative Law
Code of Federal Regulations,Administrative Law
Code of Federal Regulations (C.F.R.),Administrative Law
Code of Professional Responsibility,Legal Theory & Latin Terms
codefendant,Criminal Law & Procedure
codicil,Legal Theory & Latin Terms
codification,Legal Theory & Latin Terms
codified,Legal Theory & Latin Terms
codify,Legal Theory & Latin Terms
coercive statement by an employer,Employment & Labor Law
cognovit,Legal Theory & Latin Terms
cohabitation,Legal Theory & Latin Terms
Cohan rule,Administrative Law
coho,Legal Theory & Latin Terms
cohousing,Legal Theory & Latin Terms
coinsurance,Legal Theory & Latin Terms
collaborative divorce,Family Law & Estates/Trusts
collaborative law,Employment & Labor Law
collateral,Legal Theory & Latin Terms
collateral attack,Legal Theory & Latin Terms
collateral consanguinity,Legal Theory & Latin Terms
collateral descendant,Legal Theory & Latin Terms
collateral estoppel,Legal Theory & Latin Terms
collateral order doctrine,Legal Theory & Latin Terms
collateral source rule,Administrative Law
collateral trust certificate,Family Law & Estates/Trusts
collaterals,Legal Theory & Latin Terms
collection agency,Administrative Law
collective bargaining,Employment & Labor Law
collective knowledge,Legal Theory & Latin Terms
collective mark,Legal Theory & Latin Terms
collective membership mark,Intellectual Property (IP)
collective work,Legal Theory & Latin Terms
collision damage waiver,Legal Theory & Latin Terms
collision insurance coverage,Legal Theory & Latin Terms
collusion,Legal Theory & Latin Terms
collusive action,Legal Theory & Latin Terms
collusive bidding,Legal Theory & Latin Terms
collusive suit,Legal Theory & Latin Terms
Collyer doctrine,Legal Theory & Latin Terms
colonialism,Legal Theory & Latin Terms
color,Legal Theory & Latin Terms
color of law,Legal Theory & Latin Terms
color of office,Immigration & Naturalization Law
color of title,Property & Real Estate Law
colorable claim,Legal Theory & Latin Terms
colorable transaction,Legal Theory & Latin Terms
comaker,Legal Theory & Latin Terms
comfort care,Legal Theory & Latin Terms
comfort letter,Legal Theory & Latin Terms
coming to the nuisance,Torts
comity,Legal Theory & Latin Terms
comity of nations,Legal Theory & Latin Terms
command responsibility,Legal Theory & Latin Terms
Commander in Chief powers,Legal Theory & Latin Terms
commencement of action,Legal Theory & Latin Terms
comment,Administrative Law
commerce,Constitutional Law
Commerce Clause,Constitutional Law
Commerce Control List,Legal Theory & Latin Terms
commerce power,Legal Theory & Latin Terms
commercial exploitation,Legal Theory & Latin Terms
commercial frustration,Legal Theory & Latin Terms
commercial law,Legal Theory & Latin Terms
commercial speech,Legal Theory & Latin Terms
commercial tort claim,Torts
commingled goods,Legal Theory & Latin Terms
commingling,Legal Theory & Latin Terms
commission,Tax & Financial Regulation
commitment,Legal Theory & Latin Terms
committed credit facility,Legal Theory & Latin Terms
commodity classification request,Tax & Financial Regulation
common area,Legal Theory & Latin Terms
common carrier,Legal Theory & Latin Terms
common interest development,Legal Theory & Latin Terms
common law,Legal Theory & Latin Terms
common law lien,Contract Law
common law marriage,Family Law & Estates/Trusts
common law marriage,Family Law & Estates/Trusts
common property,Property & Real Estate Law
common stock,Securities & Corporate Law
communications,Legal Theory & Latin Terms
community interest development,Legal Theory & Latin Terms
community property,Family Law & Estates/Trusts
community property with right of survivorship,Property & Real Estate Law
community service,Immigration & Naturalization Law
community trust,Family Law & Estates/Trusts
commutation,Legal Theory & Latin Terms
commute a sentence,Criminal Law & Procedure
company,Legal Theory & Latin Terms
comparable rectitude,Legal Theory & Latin Terms
comparative negligence,Torts
compare with,Legal Theory & Latin Terms
comparison signal,Legal Theory & Latin Terms
compensation,Employment & Labor Law
compensation committee,Legal Theory & Latin Terms
compensatory damages,Torts
competence,Legal Theory & Latin Terms
competent,Legal Theory & Latin Terms
competent evidence,Evidence Law
competent witness,Criminal Law & Procedure
compilation,Intellectual Property (IP)
complainant,Legal Theory & Latin Terms
complaint,Civil Procedure & Litigation
complementarity,Legal Theory & Latin Terms
complete defense,Legal Theory & Latin Terms
complete integration,Legal Theory & Latin Terms
complex trust,Family Law & Estates/Trusts
compos mentis,Legal Theory & Latin Terms
compound interest,Legal Theory & Latin Terms
compound question,Legal Theory & Latin Terms
compounding a crime,Criminal Law & Procedure
compounding a felony,Criminal Law & Procedure
Comprehensive Crime Control Act of 1984,Criminal Law & Procedure
"Comprehensive Environmental Response, Compensation and Liability Act (CERCLA)",Environmental Law
comprehensive insurance coverage,Legal Theory & Latin Terms
compromise,Legal Theory & Latin Terms
compromise verdict,Civil Procedure & Litigation
comptroller,Legal Theory & Latin Terms
Comptroller of the Currency,Legal Theory & Latin Terms
compulsory counterclaim,Legal Theory & Latin Terms
compulsory joinder,Legal Theory & Latin Terms
compulsory license,Intellectual Property (IP)
computer and internet fraud,Criminal Law & Procedure
concealed weapon,Legal Theory & Latin Terms
concealment,Legal Theory & Latin Terms
conclusion,Legal Theory & Latin Terms
conclusion of fact,Legal Theory & Latin Terms
conclusion of law,Legal Theory & Latin Terms
concurrent condition,Contract Law
concurrent estate,Family Law & Estates/Trusts
concurrent jurisdiction,Civil Procedure & Litigation
concurrent resolution of Congress,Legal Theory & Latin Terms
concurrent sentence,Criminal Law & Procedure
concurring opinion,Legal Theory & Latin Terms
condemn,Legal Theory & Latin Terms
condemnation,Legal Theory & Latin Terms
condemnation action,Legal Theory & Latin Terms
condition,Contract Law
condition precedent,Contract Law
condition subsequent,Contract Law
Conditional Adult-Use Retail Dispensary License (CAURD),Contract Law
conditional bequest,Contract Law
conditional ownership,Contract Law
conditional resident,Contract Law
conditional sale,Contract Law
conditional SSI payments,Contract Law
conditional use zoning,Contract Law
conditions of carriage,Contract Law
condominium,Legal Theory & Latin Terms
condonation,Legal Theory & Latin Terms
condone,Legal Theory & Latin Terms
confess,Legal Theory & Latin Terms
confession,Legal Theory & Latin Terms
confession and avoidance,Legal Theory & Latin Terms
confession of judgment,Civil Procedure & Litigation
confidence game,Legal Theory & Latin Terms
confidential communication,Evidence Law
confidential relation,Legal Theory & Latin Terms
confine,Legal Theory & Latin Terms
confirmation bias,Legal Theory & Latin Terms
confirmation hearing,Administrative Law
confiscate,Legal Theory & Latin Terms
conflict of interest,Legal Theory & Latin Terms
conflict of laws,Legal Theory & Latin Terms
conformed copy,Legal Theory & Latin Terms
conforming goods,Legal Theory & Latin Terms
conforming loan,Legal Theory & Latin Terms
confrontation,Legal Theory & Latin Terms
confrontation clause,Legal Theory & Latin Terms
confusingly similar,Legal Theory & Latin Terms
congressional power,Legal Theory & Latin Terms
conjugal rights,Family Law & Estates/Trusts
connivance,Legal Theory & Latin Terms
consanguinity,Legal Theory & Latin Terms
conscientious objector,Legal Theory & Latin Terms
conscious parallelism,Legal Theory & Latin Terms
conscripting children,Intellectual Property (IP)
consecutive sentence,Criminal Law & Procedure
consensus mechanism,Legal Theory & Latin Terms
consent,Healthcare Law
consent decree,Legal Theory & Latin Terms
consent divorce,Family Law & Estates/Trusts
consent judgment,Civil Procedure & Litigation
consent order,Legal Theory & Latin Terms
consequential damages,Contract Law
conservatee,Legal Theory & Latin Terms
conservator,Legal Theory & Latin Terms
conservatorship,Intellectual Property (IP)
consideration,Contract Law
consign,Legal Theory & Latin Terms
consignee,Legal Theory & Latin Terms
consignment,Legal Theory & Latin Terms
consignor,Legal Theory & Latin Terms
Consolidated Omnibus Budget Reconciliation Act (COBRA),Legal Theory & Latin Terms
consortium,Legal Theory & Latin Terms
conspiracy,Tax & Financial Regulation
conspirator,Tax & Financial Regulation
constable,Legal Theory & Latin Terms
constitution,Constitutional Law
constitutional amendment,Constitutional Law
constitutional avoidance,Constitutional Law
constitutional clauses,Constitutional Law
constitutional law,Constitutional Law
constitutional rights,Constitutional Law
constitutional tort,Constitutional Law
construction,Property & Real Estate Law
construction lien,Property & Real Estate Law
constructive,Legal Theory & Latin Terms
