source,target,language_pair,Legal_Category
"in certain particularly disadvantaged geographical areas, for reduced rates of excise duty on domestic fuel and LPG used for heating and distributed through the networks of such areas, provided that the rates are in accordance with the obligations laid down in this Directive, and in particular the minimum rates of excise duty;","in einigen geografisch besonders benachteiligten Gebieten ermäßigte Verbrauchsteuersätze für Heizöl und Flüssiggas, das für Heizzwecke verwendet und über Leitungen in diesen Gebieten verteilt wird, unter der Voraussetzung, dass diese Sätze den Anforderungen dieser Richtlinie und insbesondere den Verbrauchsteuer-Mindestsätzen entsprechen;",en-de,Tax Law
the donor animal has been subjected with negative result to a serological test for the detection of antibodies against the foot-and-mouth disease virus on a sample taken not earlier than 28 days after the collection of the semen.,das Spendertier anhand einer nicht früher als 28 Tage nach der Spermaentnahme entnommenen Probe mit Negativbefund auf MKSV-Antikörper untersucht wurde.,en-de,General Legal
Minimum control rate,Mindestkontrollsatz,en-de,General Legal
"THE VOLUME OF THE BASIN IS APPROXIMATELY 60 TO 65 CC IN TOTAL ,","DAS GESAMTVOLUMEN DES BECKENS BETRÄGT ETWA 60 BIS 65 CM2 ,",en-de,General Legal
a major step in the development of aviation; or,als wichtiger Schritt in der Entwicklung der Luftfahrt oder,en-de,General Legal
"A sample for testing shall be taken only in cases where the customs office of exit cannot check, visually and using the information on the packaging and in the documentation, whether the goods tally with the accompanying document.","Eine Probe für eine Analyse wird nur genommen, wenn die Ausgangszollstelle anhand der Angaben auf der Verpackung und der Papiere nicht visuell feststellen kann, ob die Ware mit dem Dokument übereinstimmt.",en-de,General Legal
plans to reduce the fleet in order to comply with the reference levels where appropriate;,gegebenenfalls geplante Flottenreduzierungen zur Einhaltung der Referenzgrößen;,en-de,General Legal
They shall be applicable until 30 June 1969 at the latest.,Sie sind bis spätestens 30. Juni 1969 anwendbar.,en-de,General Legal
Succinaldehyde,Succinaldehyd,en-de,General Legal
The Committee may furthermore be consulted by the Commission on any other matter concerning the application of this Regulation.,"Im Übrigen kann der Ausschuss von der Kommission zu jeder anderen Frage gehört werden, die die Anwendung dieser Verordnung betrifft.",en-de,Administrative Law
The regulated market shall communicate to the competent authority of its home Member State the Member State in which it intends to provide such arrangements.,"Der geregelte Markt teilt der zuständigen Behörde seines Herkunftsmitgliedstaats mit, in welchem Mitgliedstaat er derartige Systeme bereitzustellen beabsichtigt.",en-de,Administrative Law
Sodium 4-propoxycarbonylphenoxide,Natrium 4-propoxycarbonylphenoxid,en-de,General Legal
(1)EAGGF financing : 60 % by the Guarantee Section and 40 % by the Guidance Section.,"(1)Finanzierung dieser Prämien durch den EAGFL, und zwar zu 60 v.H. durch die Abteilung Garantie und zu 40 v.H. durch die Abteilung Ausrichtung.",en-de,General Legal
"Having regard to Regulation (EC) No 999/2001 of the European Parliament and of the Council of 22 May 2001 laying down rules for the prevention, control and eradication of certain transmissible spongiform encephalopathies(1), as last amended by Commission Regulation (EC) No 1326/2001(2), and in particular Article 23 thereof,","gestützt auf die Verordnung (EG) Nr. 999/2001 des Europäischen Parlaments und des Rates vom 22. Mai 2001 mit Vorschriften zur Verhütung, Kontrolle und Tilgung bestimmter transmissibler spongiformer Enzephalopathien(1), zuletzt geändert durch die Verordnung (EG) Nr. 1326/2001 der Kommission(2), und insbesondere Artikel 23,",en-de,Constitutional Law
The members of the Steering Committee shall be appointed for three years.,Die Mitglieder des Lenkungsausschusses werden für drei Jahre ernannt.,en-de,General Legal
By way of derogation from the provisions of Annex VII to Regulation (EC) No 999/2001:,Abweichend von den Bestimmungen des Anhangs VII der Verordnung (EG) Nr. 999/2001:,en-de,Administrative Law
IAS 38 requires that the amortisation method used should reflect the pattern in which the asset's economic benefits are consumed by the enterprise.,"IAS 38 verlangt, dass die verwendete Abschreibungsmethode den Verlauf widerspiegelt, in dem der wirtschaftliche Nutzen des Vermögenswertes durch das Unternehmen verbraucht wird.",en-de,Corporate Law
This voltage should not be interpreted in any case.,Auf jeden Fall ist diese Spannung nicht zu interpretieren.,en-de,General Legal
The preamble of this Code indicates that chapter XI-2 and part A of this Code establish the new international framework of measures to enhance maritime security and through which ships and port facilities can cooperate to detect and deter acts which threaten security in the maritime transport sector.,"In der Präambel dieses Codes wird erläutert, dass Kapitel XI-2 und Teil A dieses Codes den neuen internationalen Rahmen für Maßnahmen darstellen, durch welche die Gefahrenabwehr in der Schifffahrt erhöht wird und Schiffe und Hafenanlagen zusammenarbeiten können, um die Sicherheit des Seeverkehrs bedrohende Handlungen aufzudecken und vor der Begehung solcher Handlungen abzuschrecken.",en-de,General Legal
"If only the non-family labour force and no other resources of the holding are used, the workers are seen as working for two different set-ups, and these activities are thus not seen as being directly related to the holding.","Wenn nur die familienfremden Arbeitskräfte und keine sonstigen Betriebsmittel eingesetzt werden, so werden die Arbeitskräfte als für zwei verschiedene Einrichtungen tätig betrachtet, und die entsprechenden Tätigkeiten gelten nicht als direkt mit dem Betrieb in Verbindung stehend.",en-de,Family Law
"The measures necessary for the implementation of this Regulation should be adopted in accordance with Council Decision 1999/468/EC of 28 June 1999 laying down the procedures for the exercise of implementing powers conferred on the Commission [6],",Die für die Durchführung dieser Verordnung erforderlichen Maßnahmen sollten gemäß dem Beschluss 1999/468/EG des Rates vom 28. Juni 1999 zur Festlegung der Modalitäten für die Ausübung der der Kommission übertragenen Durchführungsbefugnisse [6] erlassen werden —,en-de,Administrative Law
Control is the power to govern the financial and operating policies of an enterprise so as to obtain benefits from its activities.,"Beherrschung ist die Möglichkeit, die Finanz- und Geschäftspolitik eines Unternehmens zu bestimmen, um aus dessen Tätigkeiten Nutzen zu ziehen.",en-de,Corporate Law
Whereas the amounts in respect of which insurance is compulsory must in any event guarantee victims adequate compensation irrespective of the Member State in which the accident occurred;,"Die Summen, bis zu denen die Versicherungspflicht besteht, müssen in jedem Fall gestatten, den Unfallopfern eine ausreichende Entschädigung zu sichern, gleichgültig, in welchem Mitgliedstaat sich der Unfall ereignet hat.",en-de,Civil Law
Longline fisheries:,Langleinenfischerei:,en-de,General Legal
"the need to achieve a level playing field for all market participants by establishing Community legislation every time it is appropriate,",durch Gemeinschaftsvorschriften sind erforderlichenfalls gleiche Wettbewerbsbedingungen für sämtliche Marktteilnehmer sicherzustellen;,en-de,General Legal
"Building on projects resulting from calls for proposals and tender supported in the 2003 work programme on health information and knowledge, the development of a sustainable information and knowledge system at EU level will be continued.",Auf der Grundlage der Projekte aus den Aufforderungen zur Einreichung von Vorschlägen und aus der im Rahmen des Arbeitsprogramms 2003 über Gesundheitsinformation und Wissen unterstützten Ausschreibung wird die Entwicklung eines nachhaltigen Informations- und Wissenssystems auf EU-Ebene fortgesetzt.,en-de,General Legal
"For products other than those of standard quality, buying-in prices shall be derived from those in force for the relevant standard qualities, by reference to differences in quality in relation to the standard quality.","Die Kaufpreise für andere Erzeugnisse als Erzeugnisse der Standardqualität werden von den für die betreffenden Standardqualitäten geltenden Kaufpreisen abgeleitet, und zwar unter Berücksichtigung der gegenüber den Standardqualitäten bestehenden Qualitätsunterschiede.",en-de,General Legal
"An enterprise is encouraged, but not required, to determine the fair value of investment property on the basis of a valuation by an independent valuer who holds a recognised and relevant professional qualification and who has recent experience in the location and category of the investment property being valued.","Obwohl ein Unternehmen nicht dazu verpflichtet ist, wird ihm empfohlen, den Zeitwert der als Finanzinvestition gehaltenen Immobilien auf der Grundlage einer Bewertung durch einen unabhängigen Gutachter, der eine entsprechende berufliche Qualifikation und aktuelle Erfahrungen mit der Lage und der Art der zu bewertenden Immobilien hat, zu bestimmen.",en-de,Property Law
RESIDENCE PERMITS AND ALERTS FOR THE PURPOSES OF REFUSING ENTRY,AUFENTHALTSTITEL UND AUSSCHREIBUNG ZUR EINREISEVERWEIGERUNG,en-de,General Legal
"Since the possible circumvention of the measures in force takes place outside the Community, exemptions may be granted, in accordance with Article 13(4) of the basic Regulation, to producers of the product concerned that can show that they are not related to any producer subject to the measures and that are found not to be engaged in circumvention practices as defined in Article 13(1) and (2) of the basic Regulation.","Da die mutmaßliche Umgehung der geltenden Maßnahmen außerhalb der Gemeinschaft stattfindet, können nach Artikel 13 Absatz 4 der Grundverordnung Hersteller der betroffenen Ware, die nachweisen können, dass sie nicht mit einem Hersteller verbunden sind, der den Maßnahmen unterliegt, und für die festgestellt wurde, dass sie nicht an den Umgehungspraktiken im Sinne des Artikels 13 Absätze 1 und 2 der Grundverordnung beteiligt sind, befreit werden.",en-de,Constitutional Law
"The CRL, together with ENGL, shall provide further information about the operational procedures of the validation process and shall make the documents available.",Das GRL und das Netz ENGL werden weitere Angaben zu den konkreten Abläufen des Validierungsprozesses machen und Unterlagen zur Verfügung stellen.,en-de,General Legal
